x,y,alpha,beta,eg_p,adf_p,half_life,score
XLK,VDC,85.64246332455882,0.5697357115319909,0.13087554361774778,0.04335283328333837,inf,0.2696913507604345
VGT,XLF,13.909757026612333,0.05017186546289405,0.1566580681890562,0.05437771909608401,inf,0.2844143149140561
VGT,VFH,35.00167782255111,0.11866861963566909,0.1783935470351522,0.06424802264719356,inf,0.2970566278729383
XLY,VHT,33.41837958946108,1.1996407108978535,0.18336737070783066,0.06839295232296912,inf,0.3007041292123199
XLK,XLF,14.349242104832086,0.12777304943338244,0.1902502957316265,0.0697602659995914,inf,0.30400422469248717
XLK,VAW,72.69269926404138,0.6012131754047879,0.19299480825213639,0.0712083295510006,inf,0.3056812551212548
XLK,VFH,36.072970998856725,0.30194465309299245,0.20786375702518894,0.07836066915288116,inf,0.31448977047122806
VGT,VDC,84.06845464228235,0.22246753186310794,0.20949721329775034,0.07909965458283019,inf,0.3154387471522322
VCR,VHT,54.76501508385016,0.6379502339967169,0.21522251658701258,0.08353932433471373,inf,0.31950473636869053
VDC,XLI,-15.732969230583507,0.6534617998555969,0.22823777971009374,0.08840346529352783,inf,0.32665649800144864
XLK,XLP,33.83768291264107,0.20875941502113857,0.24303832373135048,0.09642444845564546,inf,0.3357851088747984
XLY,XLV,15.620501335238913,0.6503671913910285,0.2502519019967519,0.10182700568548797,inf,0.34083156307289597
XLF,XLI,-1.145736537163657,2.8990326133229303,0.25381919490047333,0.10202295700867664,inf,0.34233686076366
VGT,XLY,55.85375605954519,0.2612964347262093,0.26542331328246405,0.10818368115437699,inf,0.3494427977747364
XLB,VAW,4.440255512572264,2.1525657335832937,0.26884464408182634,0.1100326885681348,inf,0.35155093305998447
XLF,VIS,-4.862466282683101,5.6493842153260285,0.2723526136448113,0.11198949316861712,inf,0.35373684272537137
VCR,XLV,27.20707394728089,0.34579332786596007,0.2968375595847206,0.12708727454586566,inf,0.3695699336522345
XLY,VDC,46.662329101034544,0.7771400797600139,0.3234384201265103,0.14123532257946292,inf,0.38586949708238927
XLY,XLP,19.331270391660105,0.28639110506517695,0.3325532773114531,0.14682504467912438,inf,0.391751328796231
VGT,XLP,33.24316251896208,0.08157282655891103,0.33295495172216405,0.14702226749177194,inf,0.39199088768557444
XLF,XLY,0.11003075929866668,4.640510906478002,0.3343880139279163,0.14762638446417103,inf,0.3928057593568349
XLK,XLY,59.117564459558565,0.6571818638648639,0.337177907592627,0.14937190721156896,inf,0.3946199259216784
VFH,XLY,-1.866741923090018,1.932018142626169,0.36635525920961987,0.1675118916083173,inf,0.4135468603271749
VFH,XLI,-2.472097828275679,1.2082508165928032,0.37410126807548183,0.17257321103512901,inf,0.41866979164424434
XLK,XLB,31.481068312965892,0.28121980298379856,0.3772567575684818,0.1747309907058509,inf,0.42079509930973313
VDC,VIS,-32.221524213238126,1.266427842309279,0.3870525043040513,0.181233470806537,inf,0.4273143900442353
XLP,XLI,-17.102052255542915,1.7318656624208628,0.3895277433173835,0.18277887678932686,inf,0.4289226480426842
VCR,XLP,24.526033778395565,0.15185688863587818,0.39130161180499795,0.18396380459496658,inf,0.43010616655998585
VCR,VDC,60.615566534582484,0.4127132492220922,0.3933447017970001,0.18524496954131675,inf,0.4314358685353268
XLE,XOP,28.2034572770373,1.3786349143189776,0.40446328538181536,0.192607154203361,inf,0.4388281758340706
VFH,VIS,-7.575332071355547,2.3563224010845762,0.4196491596510235,0.2032302048348129,inf,0.4491517457943346
VGT,VAW,70.98449411082467,0.23491144236039432,0.41973865478852806,0.2035842678984469,inf,0.44932916907479004
VFH,VCR,-41.06033511711124,3.6901130398160165,0.4482228612818289,0.22352329712036778,inf,0.4686984633608787
XLY,XLI,11.752037599512342,0.5298363082669487,0.4529172589428273,0.2270385633638447,inf,0.47198232892266884
XLF,VCR,-37.29942626624421,8.863774941908957,0.4543044272170983,0.22804640080588456,inf,0.47294033120919315
VGT,VCR,70.04850596072816,0.4962766914300729,0.4662606435359487,0.23701296533652688,inf,0.48130944354899025
XLF,VDC,34.51957983342399,4.021913184729264,0.47345774536074786,0.24274718022602243,inf,0.4864819702347081
XLK,VCR,75.99984569407626,1.25027473634777,0.48464962930813116,0.2511488525969393,inf,0.49431939276202824
XLI,XOP,62.838457297157106,0.5253454222531136,0.49981715616584843,0.2630809404567199,inf,0.5051592386490273
XLF,XOP,58.91151820431833,1.6359971060063119,0.5095360587465723,0.2709484062205258,inf,0.5121937859868393
VIS,XOP,63.84713611062118,0.2677282692056753,0.5111113396298184,0.2722258118147083,inf,0.5133348605778107
VFH,VDC,33.66729824190173,1.662464185905376,0.5124293070960556,0.2736165882986199,inf,0.5144183581578703
VFH,XOP,56.82913369951487,0.7004508644283791,0.5143976932443073,0.27493269806603615,inf,0.5157321565241374
VAW,XOP,58.986957716081946,0.33463805927185375,0.5226072572625368,0.2817059710120553,inf,0.5217252913098369
XLY,VCR,-34.15709466985825,1.8855530650972527,0.5325260165255797,0.29108012196198774,inf,0.529442455395027
VCR,XLI,21.08266287243302,0.28219439121646595,0.5353424563413793,0.29257148443237113,inf,0.5311655763095002
VDC,XOP,68.71862205894143,0.250755355309474,0.5382552694654051,0.29497305640558713,inf,0.5332913303483969
XLV,XOP,77.29345948311253,0.28475815219609113,0.5413813507190978,0.29765955382891945,inf,0.5356163618192069
XLB,XOP,66.0787844998757,0.6336313682065202,0.5420956042608983,0.29826492004447047,inf,0.5361442097221476
XLK,XOP,90.41692992415159,0.1409741439710792,0.544341274746243,0.3002298676548496,inf,0.537828456960437
XLF,XLP,15.267302251910948,1.4681888809544712,0.5442673997208393,0.3005517821249988,inf,0.5379276727383353
XLP,VIS,-34.59330021807557,3.3515902387364456,0.5447254597195804,0.3011211687116934,inf,0.5383386513725096
XLK,XLV,48.7315895432509,0.4726456602216574,0.5506807629132124,0.30816286292298384,inf,0.5435374503344785
VGT,XLB,30.64908006091135,0.10998735874545616,0.5521651296714112,0.30748402007118303,inf,0.5438596598970378
XLP,XOP,72.60666686897912,0.5890904808727444,0.5537543590240959,0.30847022296874094,inf,0.5448898327971348
VGT,XOP,92.65089219074144,0.04656296604924742,0.562212750465702,0.3160021339753499,inf,0.5512859537764208
VFH,XLP,15.01858144736385,0.6060078363891043,0.5671414731858632,0.3208069756293298,inf,0.5551793795260772
VCR,VAW,42.53827474806681,0.45226994402734644,0.5741976491493533,0.32715406646637046,inf,0.5605406862462896
VCR,XLB,17.326958774419694,0.21177142062337184,0.5752407886734903,0.32818083044717294,inf,0.5613686476482653
VHT,XOP,84.8000047526564,0.11273863433628623,0.5829328855692479,0.3349527931466697,inf,0.5671542714863671
