Date,ticker,side,qty,price,notional,fees,slippage
2017-03-31,KO,-1,-1527.0131696031738,32.75910949707031,-50023.59162649877,0.0,0.0
2017-03-31,PEP,1,574.3751185915119,86.60980987548828,49746.519818421875,0.0,0.0
2017-04-03,KO,1,1527.0131696031738,32.7359504699707,49988.22748712247,0.0,0.0
2017-04-03,PEP,-1,-574.3751185915119,86.60980987548828,-49746.519818421875,0.0,0.0
2017-04-04,KO,-1,-1526.2930149084657,32.94436264038086,-50282.75057862472,0.0,0.0
2017-04-04,PEP,1,577.30180994371,86.78014373779297,50098.3340470032,0.0,0.0
2017-04-05,KO,1,1526.2930149084657,32.85945510864258,50153.15680601946,0.0,0.0
2017-04-05,PEP,-1,-577.30180994371,86.67173767089844,-50035.75102837611,0.0,0.0
2017-04-06,PEP,1,576.1686700021548,86.39299011230469,49776.93421051591,0.0,0.0
2017-04-06,KO,-1,-1517.7103453418629,32.9366340637207,-49988.270259248115,0.0,0.0
2017-04-07,PEP,-1,-576.1686700021548,86.4162368774414,-49790.32826826658,0.0,0.0
2017-04-07,KO,1,1517.7103453418629,32.89032745361328,49917.99023803037,0.0,0.0
2017-04-10,KO,-1,-1518.0664758659836,32.95207595825195,-50023.44182241175,0.0,0.0
2017-04-10,PEP,1,578.7506594574813,86.73368072509766,50197.17491682491,0.0,0.0
2017-04-11,PEP,-1,-578.7506594574813,86.50912475585938,-50067.21300154314,0.0,0.0
2017-04-11,KO,1,1518.0664758659836,32.928924560546875,49988.29646168623,0.0,0.0
2017-04-12,KO,-1,-1517.3550844974566,33.14505386352539,-50292.81600576232,0.0,0.0
2017-04-12,PEP,1,576.4773220967638,87.96476745605469,50709.693581930966,0.0,0.0
2017-04-13,KO,1,1517.3550844974566,33.029266357421875,50117.12524465487,0.0,0.0
2017-04-13,PEP,-1,-576.4773220967638,87.24468994140625,-50294.58522458434,0.0,0.0
2017-04-17,KO,-1,-1508.5207043522926,33.245399475097656,-50151.373432647655,0.0,0.0
2017-04-17,PEP,1,568.4093921464514,87.74022674560547,49872.36895126142,0.0,0.0
2017-04-18,KO,1,1508.5207043522926,33.561866760253906,50628.77088455602,0.0,0.0
2017-04-18,PEP,-1,-568.4093921464514,88.4835205078125,-50294.86410682377,0.0,0.0
2017-04-19,KO,-1,-1503.9674899214947,33.368892669677734,-50185.72974987498,0.0,0.0
2017-04-19,PEP,1,569.8640390452864,87.9725112915039,50132.37060953348,0.0,0.0
2017-04-20,KO,1,1503.9674899214947,33.26083755493164,50023.21837017712,0.0,0.0
2017-04-20,PEP,-1,-569.8640390452864,87.94927215576172,-50119.12746177552,0.0,0.0
2017-04-21,KO,-1,-1498.401535075059,33.245399475097656,-49814.95760766989,0.0,0.0
2017-04-21,PEP,1,568.3593575534184,87.82539367675781,49916.38432699812,0.0,0.0
2017-04-24,KO,1,1498.401535075059,33.40749740600586,50057.84539617523,0.0,0.0
2017-04-24,PEP,-1,-568.3593575534184,88.51448822021484,-50308.03765901092,0.0,0.0
