Date,spread,z,side,entry_flag,exit_flag,w_x,w_y,x,y
2019-02-22,-13.598500603243835,2.153314292800526,0,0,1,-0.0,0.0,37.049072265625,95.36216735839844
2019-02-25,-13.352063227090554,1.9738488188226804,1,1,0,-1.0,1.0,36.77088165283203,94.79045104980467
2019-02-26,-12.823977842385816,1.8755230992361682,0,0,1,-0.0,0.0,36.56633377075195,94.71696472167967
2019-02-27,-13.91560082474679,1.5309416373661453,1,1,0,-1.0,1.0,36.77088165283203,94.22691345214844
2019-02-28,-13.891749290784077,1.4197153970585394,0,0,1,-0.0,0.0,37.09817123413086,95.21331787109376
2019-03-01,-13.543390170140782,1.374356846022059,1,1,0,-1.0,1.0,37.13089370727539,95.6579132080078
2019-03-04,-14.20137583198644,1.175925069382402,0,0,1,-0.0,0.0,37.35182189941406,95.64967346191406
2019-03-05,-14.196283749960628,1.1000824560359987,1,1,0,-1.0,1.0,37.31089782714844,95.53440856933594
2019-03-06,-13.316632548852056,1.165076275765521,0,0,1,-0.0,0.0,37.18817138671875,96.0531234741211
2019-03-07,-13.368626946017272,1.080693582497578,1,1,0,-1.0,1.0,37.049072265625,95.592041015625
2019-03-08,-13.026154067908436,1.0631820980158164,0,0,1,-0.0,0.0,36.68906021118164,94.87572479248048
2019-03-11,-15.13094818759103,0.6677518420504058,1,1,0,-1.0,1.0,37.78548049926758,95.9954833984375
2019-03-12,-14.834545317140254,0.6672832634537028,0,0,1,-0.0,0.0,37.67910385131836,95.97903442382812
2019-03-13,-15.235408891166472,0.5536952523663654,1,1,0,-1.0,1.0,37.81820297241211,95.9872589111328
2019-03-14,-15.833375180707662,0.4097227309790016,0,0,1,-0.0,0.0,37.71916198730469,95.09801483154295
2019-03-15,-14.73065247397885,0.5533665909350739,1,1,0,-1.0,1.0,37.389007568359375,95.2297592163086
2019-03-18,-13.672033471260292,0.684678908455819,0,0,1,-0.0,0.0,37.47979736328125,96.55538940429688
2019-03-19,-13.36103082940484,0.688101838160594,1,1,0,-1.0,1.0,37.603607177734375,97.2305145263672
2019-03-20,-13.098850594450553,0.6860422619059324,0,0,1,-0.0,0.0,37.57884979248047,97.41988372802734
2019-03-21,-12.12809996267653,0.8249343495596615,1,1,0,-1.0,1.0,37.56233215332031,98.34205627441406
2019-03-22,-12.093705782002587,0.7911761128453024,0,0,1,-0.0,0.0,37.908992767333984,99.3959732055664
2019-03-25,-12.229421626446182,0.7304610193354053,1,1,0,-1.0,1.0,37.99152755737305,99.50299072265624
2019-03-26,-12.746807775766868,0.5791884583052331,0,0,1,-0.0,0.0,38.49500274658203,100.46631622314452
2019-03-27,-12.780995411210668,0.569895260567412,1,1,0,-1.0,1.0,38.47024154663086,100.35930633544922
2019-03-28,-12.749367849596226,0.8674252435290521,0,0,1,-0.0,0.0,38.44548416137695,100.31812286376952
2019-03-29,-12.84443999807614,0.81513851855977,1,1,0,-1.0,1.0,38.67658615112305,100.90271759033205
2019-04-01,-12.957475750703708,0.6577554694515086,0,0,1,-0.0,0.0,38.561038970947266,100.44985961914062
2019-04-02,-12.856811522441959,0.7427967882892451,1,1,0,-1.0,1.0,38.43722915649414,100.1864013671875
2019-04-03,-12.008926942183805,1.469975519582235,0,0,1,-0.0,0.0,38.11532974243164,100.08758544921876
2019-04-04,-12.811234925428977,0.6497676530516677,1,1,0,-1.0,1.0,38.362937927246094,100.01348876953124
2019-04-05,-12.663501378681957,0.761686231938099,0,0,1,-0.0,0.0,38.35469436645508,100.13697814941406
2019-04-08,-12.544775185101528,0.8440647065165483,1,1,0,-1.0,1.0,38.420711517333984,100.44985961914062
2019-04-09,-12.696106540994577,0.6861491380253494,0,0,1,-0.0,0.0,38.51976013183594,100.58982849121094
2019-04-10,-12.730313024790291,0.6114474861714237,1,1,0,-1.0,1.0,38.49500274658203,100.4828109741211
2019-04-11,-13.20489592501427,0.11538044126414179,0,0,1,-0.0,0.0,38.55278396606445,100.17816162109376
2019-04-12,-12.816613280854966,0.4791721027034063,1,1,0,-1.0,1.0,38.577537536621094,100.63924407958984
2019-04-15,-12.270337045741556,0.9594564335454833,0,0,1,-0.0,0.0,38.79213333129883,101.81664276123048
2019-04-16,-13.17816042845142,0.01947662797700707,1,1,0,-1.0,1.0,38.7508659362793,100.7874526977539
2019-04-17,-10.191737696943846,2.5749327272438274,0,0,1,-0.0,0.0,39.023231506347656,104.57489776611328
2019-04-18,-10.611324598233352,1.9707038755761281,1,1,0,-1.0,1.0,39.18830108642578,104.64077758789062
2019-04-22,-10.952348460270812,1.5600409970603861,0,0,1,-0.0,0.0,39.122283935546875,104.10559844970705
2019-04-23,-12.383347694963064,0.38027808160956567,1,1,0,-1.0,1.0,39.790828704833984,104.64077758789062
2019-04-24,-11.965024002152177,0.6774187198440483,0,0,1,-0.0,0.0,39.60099411010742,104.50080108642578
2019-04-25,-12.275627416266985,0.35192915927376606,1,1,0,-1.0,1.0,39.48543548583984,103.850341796875
2019-04-26,-13.072803582627216,-0.5963148142487993,0,0,1,-0.0,0.0,39.83208465576172,104.0726547241211
2019-04-29,-13.222434355328375,-0.9231725520249567,1,1,0,-1.0,1.0,39.964149475097656,104.3114242553711
2019-04-30,-13.656209651431809,-1.482755532277533,0,0,1,-0.0,0.0,40.49238586425781,105.43118286132812
2019-05-01,-13.182209635994965,-0.8877577099814205,1,1,0,-1.0,1.0,40.104454040527344,104.7642822265625
2019-05-02,-13.034309513794952,-0.700293072432631,0,0,1,-0.0,0.0,39.93938064575195,104.42670440673828
2019-05-03,-13.143775701781223,-0.7927534258849749,1,1,0,-1.0,1.0,40.21176528930664,105.11831665039062
2019-05-06,-12.866227866454153,-0.40265217911944845,0,0,1,-0.0,0.0,40.00541305541992,104.78898620605467
2019-05-07,-12.787524729495516,-0.2772924064235694,1,1,0,-1.0,1.0,39.61750030517578,103.72684478759766
2019-05-08,-12.390500260230183,0.22176510933465193,0,0,1,-0.0,0.0,39.49369430541992,103.75975799560548
2019-05-09,-11.273469676091139,1.5371930912200522,1,1,0,-1.0,1.0,39.122283935546875,103.78447723388672
2019-05-10,-11.577356527116507,1.0892557857627256,0,0,1,-0.0,0.0,39.77433013916016,105.39824676513672
2019-05-13,-11.937318534285666,0.6124704456832842,1,1,0,-1.0,1.0,39.65876770019531,104.69841766357422
2019-05-14,-13.285023041119217,-0.9984118617650144,0,0,1,-0.0,0.0,40.1870002746582,104.90423583984376
2019-05-15,-12.877095057972312,-0.5078782754515808,1,1,0,-1.0,1.0,40.59142303466797,106.5015640258789
2019-05-16,-13.090592983732037,-0.717719408150472,0,0,1,-0.0,0.0,40.921573638916016,107.259033203125
2019-05-17,-11.970595018359617,0.5846003657488724,1,1,0,-1.0,1.0,40.607940673828125,107.4566421508789
